Ticker,Sector
AAPL,Mag7
AGG,FI ETFs - Aggregate
AMZN,Mag7
APA,Energy
ARW,Technology
AVT,Technology
BA,Industrials
BAX,Healthcare
BBY,Consumer Cyclical
BMY,Healthcare
BND,FI ETFs - Aggregate
BWA,Consumer Cyclical
CAG,Consumer Defensive
CMCSA,Communication Services
COF,Financial Services
CPB,Consumer Defensive
CVS,Healthcare
D,Utilities
DAL,Industrials
DVN,Energy
EMB,FI ETFs - EM Debt
EMN,Basic Materials
EXPE,Consumer Cyclical
FDX,Industrials
GIS,Consumer Defensive
GOOGL,Mag7
HAL,Energy
HPQ,Technology
HST,Real Estate
HYG,FI ETFs - HY Credit
IEF,FI ETFs - Duration
INTC,Technology
IP,Consumer Cyclical
JNK,FI ETFs - HY Credit
KHC,Consumer Defensive
KMI,Energy
LQD,FI ETFs - IG Credit
LUV,Industrials
MBB,FI ETFs - MBS
MET,Financial Services
META,Mag7
MSFT,Mag7
NEE,Utilities
NVDA,Mag7
OMC,Communication Services
ORCL,Technology
OVV,Energy
OXY,Energy
PRU,Financial Services
SHY,FI ETFs - Duration
SPG,Real Estate
SRE,Utilities
TECK,Basic Materials
TGT,Consumer Defensive
TIP,FI ETFs - Inflation
TLT,FI ETFs - Duration
TSLA,Mag7
TSN,Consumer Defensive
USHY,FI ETFs - HY Credit
VCIT,FI ETFs - IG Credit
VCSH,FI ETFs - IG Credit
